COUNTRY,COMP,YEAR,HEXP,HC3,DALE,SMALL,GINI,TROPICS,POPDEN,PUBTHE,GDPC,LCOMP,LDALE,LHEXP,LHC,LPOPDEN,WBNUMBER,STRATUM,GROUPTI,LGDPC,LHEXP2,LHC2,LHEXPHC,T93,T94,T95,T96,T97,TIME,GEFF,VOICE,COUNTRY,OECD,LGDPC2             
Australia       ,90.76694,1994,1537.446,10.43065,71.42074,0,0.341,0,224.562,72,20632.34,4.508295,4.268588,7.337878,2.344749,5.4141518,10,10,5,9.934615,26.9222268,2.7489239,17.2054821,0,1,0,0,0,2,1.459,1.628,10,1,98.6965757
Australia       ,91.00562,1995,1578.375,10.44005,71.63927,0,0.341,0,224.562,72,20632.34,4.510921,4.271643,7.364151,2.345649,5.4141518,10,10,5,9.934615,27.11536,2.7510346,17.2737134,0,0,1,0,0,3,1.459,1.628,10,1,98.6965757
Australia       ,91.20224,1996,1604.51,10.44915,71.81916,0,0.341,0,224.562,72,20632.34,4.51308,4.274151,7.380574,2.346521,5.4141518,10,10,5,9.934615,27.2364363,2.7530804,17.3186719,0,0,0,1,0,4,1.459,1.628,10,1,98.6965757
Australia       ,91.32975,1997,1609.323,10.45797,71.93576,0,0.341,0,224.562,72,20632.34,4.514477,4.275774,7.383569,2.347365,5.4141518,10,10,5,9.934615,27.2585456,2.7550612,17.3319314,0,0,0,0,1,5,1.459,1.628,10,1,98.6965757
New South Wales ,86.72754,1996,1665.658,10.6321,71.0629,3,0.341,0,224.562,72,20632.34,4.462771,4.263566,7.417976,2.363877,5.4141518,11,11,1,9.934615,27.513184,2.7939572,17.5351829,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Victoria        ,87.05069,1996,1599.136,11.49151,71.40558,3,0.341,0,224.562,72,20632.34,4.466491,4.268376,7.377219,2.441609,5.4141518,12,12,1,9.934615,27.2116801,2.9807273,18.0122843,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Queensland      ,86.6171,1996,1453.569,9.525915,70.9458,3,0.341,0,224.562,72,20632.34,4.461497,4.261916,7.281777,2.254016,5.4141518,13,13,1,9.934615,26.5121381,2.5402941,16.4132419,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
South Australia ,86.88344,1996,1652.572,10.1726,71.22823,3,0.341,0,224.562,72,20632.34,4.464568,4.265889,7.410089,2.319698,5.4141518,14,14,1,9.934615,27.4547095,2.6904994,17.1891686,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Western Australi,86.98946,1996,1462.026,8.938788,71.34065,3,0.341,0,224.562,72,20632.34,4.465787,4.267467,7.287578,2.1904,5.4141518,15,15,1,9.934615,26.5543966,2.3989261,15.9627109,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Tasmania        ,85.87614,1996,1803.027,10.40235,70.16009,3,0.341,0,224.562,72,20632.34,4.452906,4.25078,7.497222,2.342032,5.4141518,16,16,1,9.934615,28.1041689,2.7425569,17.5587338,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Northern Territo,80.94057,1996,1603.68,8.483553,64.92641,3,0.341,0,224.562,72,20632.34,4.393715,4.173254,7.380056,2.138129,5.4141518,17,17,1,9.934615,27.2326133,2.2857978,15.7795118,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Australian Capit,87.54603,1996,1580.164,13.81875,71.93083,3,0.341,0,224.562,72,20632.34,4.472165,4.275705,7.365283,2.626026,5.4141518,18,18,1,9.934615,27.1236968,3.4480063,19.3414247,0,0,0,1,0,4,1.459,1.628, ,1,98.6965757
Austria         ,90.2781,1993,1765.072,7.525875,70.72821,0,0.2235,0,96.25747,67.3,21900.72,4.502895,4.258844,7.475946,2.018347,4.5670266,19,19,5,9.9942748,27.9448843,2.0368623,15.0890532,1,0,0,0,0,1,1.219,1.447,11,1,99.8855286
Austria         ,90.55176,1994,1801.205,7.600897,70.97697,0,0.2235,0,96.25747,67.3,21900.72,4.505921,4.262355,7.496211,2.028266,4.5670266,19,19,5,9.9942748,28.0965897,2.0569315,15.2043099,0,1,0,0,0,2,1.219,1.447,11,1,99.8855286
Austria         ,90.81484,1995,1833.78,7.674913,71.21588,0,0.2235,0,96.25747,67.3,21900.72,4.508823,4.265716,7.514135,2.037957,4.5670266,19,19,5,9.9942748,28.2311124,2.0766344,15.313484,0,0,1,0,0,3,1.219,1.447,11,1,99.8855286
Austria         ,91.10786,1996,1882.408,7.747901,71.48168,0,0.2235,0,96.25747,67.3,21900.72,4.512044,4.269441,7.540307,2.047422,4.5670266,19,19,5,9.9942748,28.4281148,2.0959684,15.4381904,0,0,0,1,0,4,1.219,1.447,11,1,99.8855286
Austria         ,91.47028,1997,1971.065,7.819842,71.81004,0,0.2235,0,96.25747,67.3,21900.72,4.516014,4.274024,7.586329,2.056664,4.5670266,19,19,5,9.9942748,28.7761938,2.1149334,15.6025297,0,0,0,0,1,5,1.219,1.447,11,1,99.8855286
Azerbaijan      ,73.99906,1997,46.87725,6.806227,63.83143,0,0.285139,0,90.35733,79.3,1616.457,4.304052,4.156246,3.847533,1.917838,4.5037721,20,20,1,7.387992,7.4017551,1.8390513,7.378945,0,0,0,0,1,5,-0.833,-0.919,12,0,54.5824257
San Marino      ,90.86263,1997,1303.36,7.090714,72.45626,0,0.285139,0,34.4370003,73.5,17378.13,4.509349,4.282983,7.172701,1.958786,3.5391316,21,21,1,9.7629678,25.7238198,1.9184213,14.0497863,0,0,0,0,1,5,0.5813013,0.6021485,13,0,95.3155402
Burundi         ,59.87803,1993,27.3746,1.957302,35.37568,0,0.3223,1,254.075,35.6,648.1224,4.092309,3.566025,3.309616,0.671567,5.5376295,22,22,5,6.4740796,5.476779,0.2255011,2.2226289,1,0,0,0,0,1,-1.135,-1.288,14,0,41.9137062
Burundi         ,59.74453,1994,31.58005,2.006145,35.18597,0,0.3223,1,254.075,35.6,648.1224,4.090077,3.560647,3.452526,0.6962149,5.5376295,22,22,5,6.4740796,5.9599679,0.2423576,2.4037,0,1,0,0,0,2,-1.135,-1.288,14,0,41.9137062
Burundi         ,59.61113,1995,28.04068,2.056882,34.99627,0,0.3223,1,254.075,35.6,648.1224,4.087842,3.555241,3.333656,0.7211911,5.5376295,22,22,5,6.4740796,5.5566312,0.2600583,2.404203,0,0,1,0,0,3,-1.135,-1.288,14,0,41.9137062
Burundi         ,59.47783,1996,27.70111,2.110087,34.80656,0,0.3223,1,254.075,35.6,648.1224,4.085604,3.549806,3.321472,0.746729,5.5376295,22,22,5,6.4740796,5.5160881,0.2788021,2.4802395,0,0,0,1,0,4,-1.135,-1.288,14,0,41.9137062
Burundi         ,59.34462,1997,25.92489,2.168535,34.61685,0,0.3223,1,254.075,35.6,648.1224,4.083362,3.544341,3.255204,0.774052,5.5376295,22,22,5,6.4740796,5.2981765,0.2995782,2.5196972,0,0,0,0,1,5,-1.135,-1.288,14,0,41.9137062
Belgium         ,90.76898,1993,1716.28,9.037189,71.33727,0,0.2416,0,333.0196,83.2,21832.19,4.508317,4.267419,7.447915,2.201348,5.8082013,23,23,5,9.9911408,27.7357189,2.4229665,16.3954528,1,0,0,0,0,1,0.883,1.436,15,1,99.8228938
Belgium         ,90.90955,1994,1731.857,9.085608,71.46559,0,0.2416,0,333.0196,83.2,21832.19,4.509865,4.269216,7.456949,2.206692,5.8082013,23,23,5,9.9911408,27.8030442,2.4347448,16.4551897,0,1,0,0,0,2,0.883,1.436,15,1,99.8228938
Belgium         ,91.05022,1995,1722.159,9.132889,71.59395,0,0.2416,0,333.0196,83.2,21832.19,4.511411,4.27101,7.451334,2.211882,5.8082013,23,23,5,9.9911408,27.7611892,2.446211,16.4814716,0,0,1,0,0,3,0.883,1.436,15,1,99.8228938
Belgium         ,91.19099,1996,1743.309,9.179045,71.72234,0,0.2416,0,333.0196,83.2,21832.19,4.512956,4.272802,7.463541,2.216923,5.8082013,23,23,5,9.9911408,27.8522221,2.4573738,16.5460957,0,0,0,1,0,4,0.883,1.436,15,1,99.8228938
Belgium         ,91.35112,1997,1746.575,9.224089,71.86829,0,0.2416,0,333.0196,83.2,21832.19,4.51471,4.274835,7.465412,2.221818,5.8082013,23,23,5,9.9911408,27.8661882,2.4682376,16.5867868,0,0,0,0,1,5,0.883,1.436,15,1,99.8228938
Benin           ,63.4697,1993,23.5714,1.487338,41.23131,0,0.444238,1,49.85168,47.2,1283.931,4.150563,3.719198,3.160034,0.3969877,3.9090522,24,24,5,7.1576817,4.9929074,0.0787996,1.2544946,1,0,0,0,0,1,-0.066,0.695,16,0,51.232408
Benin           ,63.64867,1994,38.2631,1.554704,41.46979,0,0.444238,1,49.85168,47.2,1283.931,4.153378,3.724965,3.644486,0.4412852,3.9090522,24,24,5,7.1576817,6.6411391,0.0973663,1.6082577,0,1,0,0,0,2,-0.066,0.695,16,0,51.232408
Benin           ,63.82782,1995,37.71301,1.603501,41.70814,0,0.444238,1,49.85168,47.2,1283.931,4.156189,3.730696,3.630005,0.4721895,3.9090522,24,24,5,7.1576817,6.5884682,0.1114815,1.7140502,0,0,1,0,0,3,-0.066,0.695,16,0,51.232408
Benin           ,64.00716,1996,40.02728,1.65641,41.94637,0,0.444238,1,49.85168,47.2,1283.931,4.158995,3.736392,3.689561,0.5046523,3.9090522,24,24,5,7.1576817,6.8064302,0.127337,1.8619454,0,0,0,1,0,4,-0.066,0.695,16,0,51.232408
Benin           ,64.1867,1997,38.51792,1.70824,42.18447,0,0.444238,1,49.85168,47.2,1283.931,4.161796,3.742052,3.651124,0.5354633,3.9090522,24,24,5,7.1576817,6.6653532,0.1433605,1.9550429,0,0,0,0,1,5,-0.066,0.695,16,0,51.232408
Burkina Faso    ,59.8035,1993,33.29662,1.537715,36.1821,0,0.4621,1,38.26159,30.9,885.904,4.091064,3.588565,3.505456,0.4302978,3.6444465,25,25,5,6.7866086,6.1441109,0.0925781,1.50839,1,0,0,0,0,1,-0.059,-0.213,17,0,46.0580562
Burkina Faso    ,59.69004,1994,35.43449,1.616637,36.02647,0,0.4621,1,38.26159,30.9,885.904,4.089165,3.584254,3.567686,0.4803479,3.6444465,25,25,5,6.7866086,6.3641917,0.1153671,1.7137305,0,1,0,0,0,2,-0.059,-0.213,17,0,46.0580562
Burkina Faso    ,59.57663,1995,35.10186,1.695179,35.87084,0,0.4621,1,38.26159,30.9,885.904,4.087264,3.579925,3.558254,0.527788,3.6444465,25,25,5,6.7866086,6.3305858,0.1392801,1.8780038,0,0,1,0,0,3,-0.059,-0.213,17,0,46.0580562
Burkina Faso    ,59.46328,1996,34.63383,1.780972,35.71519,0,0.4621,1,38.26159,30.9,885.904,4.085359,3.575576,3.544831,0.5771594,3.6444465,25,25,5,6.7866086,6.2829134,0.1665565,2.0459325,0,0,0,1,0,4,-0.059,-0.213,17,0,46.0580562
Burkina Faso    ,59.34999,1997,37.20797,1.868587,35.55954,0,0.4621,1,38.26159,30.9,885.904,4.083452,3.571208,3.616523,0.6251824,3.6444465,25,25,5,6.7866086,6.5396193,0.1954265,2.2609865,0,0,0,0,1,5,-0.059,-0.213,17,0,46.0580562
Bangladesh      ,65.97387,1993,52.11635,2.273876,47.78469,0,0.3233,0,880.3256,46,1419.614,4.189259,3.866705,3.953479,0.8214858,6.7802918,26,26,5,7.2581403,7.8149981,0.3374195,3.2477269,1,0,0,0,0,1,-0.565,-0.015,18,0,52.6806004
Bangladesh      ,66.42848,1994,54.55818,2.307851,48.29138,0,0.3233,0,880.3256,46,1419.614,4.196126,3.877253,3.999268,0.8363169,6.7802918,26,26,5,7.2581403,7.9970723,0.349713,3.3446554,0,1,0,0,0,2,-0.565,-0.015,18,0,52.6806004
Bangladesh      ,66.88416,1995,55.36734,2.342348,48.79825,0,0.3233,0,880.3256,46,1419.614,4.202962,3.887694,4.01399,0.851154,6.7802918,26,26,5,7.2581403,8.0560579,0.3622316,3.4165236,0,0,1,0,0,3,-0.565,-0.015,18,0,52.6806004
Bangladesh      ,67.341,1996,59.935,2.4027,49.30532,0,0.3233,0,880.3256,46,1419.614,4.209769,3.898032,4.093261,0.8765932,6.7802918,26,26,5,7.2581403,8.3773928,0.3842078,3.5881248,0,0,0,1,0,4,-0.565,-0.015,18,0,52.6806004
Bangladesh      ,67.79904,1997,69.56109,2.464111,49.81261,0,0.3233,0,880.3256,46,1419.614,4.216548,3.908268,4.242205,0.901831,6.7802918,26,26,5,7.2581403,8.9981516,0.4066496,3.825752,0,0,0,0,1,5,-0.565,-0.015,18,0,52.6806004
Bulgaria        ,77.98952,1993,241.6521,9.311997,64.99635,0,0.2743,0,74.92934,81.9,3994.829,4.356575,4.174331,5.487499,2.231304,4.3165455,27,27,5,8.2927561,15.0563226,2.4893588,12.2442785,1,0,0,0,0,1,-0.814,0.603,19,0,68.769803
Bulgaria        ,77.88736,1994,219.6611,9.353827,64.87328,0,0.2743,0,74.92934,81.9,3994.829,4.355264,4.172436,5.392086,2.235786,4.3165455,27,27,5,8.2927561,14.5372957,2.4993695,12.0555504,0,1,0,0,0,2,-0.814,0.603,19,0,68.769803
Bulgaria        ,77.80181,1995,226.8876,9.394598,64.77035,0,0.2743,0,74.92934,81.9,3994.829,4.354165,4.170848,5.424455,2.240135,4.3165455,27,27,5,8.2927561,14.712356,2.5091024,12.1515115,0,0,1,0,0,3,-0.814,0.603,19,0,68.769803
Bulgaria        ,77.71889,1996,175.1045,9.434324,64.67072,0,0.2743,0,74.92934,81.9,3994.829,4.353098,4.169309,5.165383,2.244354,4.3165455,27,27,5,8.2927561,13.3405908,2.5185624,11.592948,0,0,0,1,0,4,-0.814,0.603,19,0,68.769803
Bulgaria        ,77.63782,1997,191.7518,9.473024,64.57341,0,0.2743,0,74.92934,81.9,3994.829,4.352055,4.167803,5.256202,2.248448,4.3165455,27,27,5,8.2927561,13.8138297,2.5277592,11.8182969,0,0,0,0,1,5,-0.814,0.603,19,0,68.769803
Bahrain         ,79.63063,1993,573.8979,4.893201,64.01929,0,0.3679,0,1217.357,58.5,12306.51,4.377399,4.159184,6.352451,1.587847,7.1044374,28,28,5,9.4178837,20.1768169,1.260629,10.0867203,1,0,0,0,0,1,0.235,-1.037,20,0,88.6965328
Bahrain         ,79.81987,1994,566.782,4.966414,64.22351,0,0.3679,0,1217.357,58.5,12306.51,4.379773,4.162369,6.339975,1.602698,7.1044374,28,28,5,9.4178837,20.0976415,1.2843204,10.1610653,0,1,0,0,0,2,0.235,-1.037,20,0,88.6965328
Bahrain         ,80.0091,1995,534.4144,5.04073,64.42778,0,0.3679,0,1217.357,58.5,12306.51,4.382141,4.165545,6.281171,1.617551,7.1044374,28,28,5,9.4178837,19.7265546,1.3082356,10.1601144,0,0,1,0,0,3,0.235,-1.037,20,0,88.6965328
Bahrain         ,80.19831,1996,531.0146,5.132277,64.6321,0,0.3679,0,1217.357,58.5,12306.51,4.384502,4.168711,6.27479,1.635549,7.1044374,28,28,5,9.4178837,19.6864948,1.3375103,10.2627265,0,0,0,1,0,4,0.235,-1.037,20,0,88.6965328
Bahrain         ,80.3875,1997,541.4863,5.223983,64.83647,0,0.3679,0,1217.357,58.5,12306.51,4.386858,4.171868,6.294318,1.65326,7.1044374,28,28,5,9.4178837,19.8092195,1.3666343,10.4061442,0,0,0,0,1,5,0.235,-1.037,20,0,88.6965328
Bahamas         ,77.65125,1993,1014.73,8.378123,58.18439,0,0.474325,0,22.45707,49.9,20742.82,4.352228,4.063617,6.922378,2.125624,3.1116055,29,29,5,9.9399554,23.9596586,2.2591387,14.7143728,1,0,0,0,0,1,0.474,1.134,21,0,98.8027142
Bahamas         ,77.89133,1994,1041.777,8.368252,58.43117,0,0.474325,0,22.45707,49.9,20742.82,4.355315,4.06785,6.948683,2.124445,3.1116055,29,29,5,9.9399554,24.1420977,2.2566333,14.7620949,0,1,0,0,0,2,0.474,1.134,21,0,98.8027142
Bahamas         ,78.1315,1995,1037.141,8.366226,58.67681,0,0.474325,0,22.45707,49.9,20742.82,4.358393,4.072044,6.944223,2.124203,3.1116055,29,29,5,9.9399554,24.1111165,2.2561192,14.7509393,0,0,1,0,0,3,0.474,1.134,21,0,98.8027142
Bahamas         ,78.37176,1996,1140.855,8.399995,58.92133,0,0.474325,0,22.45707,49.9,20742.82,4.361464,4.076203,7.039534,2.128231,3.1116055,29,29,5,9.9399554,24.7775195,2.2646836,14.9817545,0,0,0,1,0,4,0.474,1.134,21,0,98.8027142
Bahamas         ,78.61209,1997,1223.827,8.420198,59.16477,0,0.474325,0,22.45707,49.9,20742.82,4.364525,4.080326,7.109738,2.130633,3.1116055,29,29,5,9.9399554,25.2741872,2.2697985,15.1482424,0,0,0,0,1,5,0.474,1.134,21,0,98.8027142
Bosnia and Herze,77.26235,1997,144.8699,7.905137,64.88881,0,0.319462,0,68.4550018,92.6,1906.182,4.347207,4.172675,4.975836,2.067513,4.2261766,30,30,1,7.5528576,12.3794719,2.137305,10.2876056,0,0,0,0,1,5,-1.108,-0.971,22,0,57.0456574
Belarus         ,81.98572,1993,321.9766,8.954906,62.99058,0,0.2099,0,50.1920013,82.6,4272.954,4.406545,4.142985,5.774479,2.192202,3.9158557,31,31,5,8.3600607,16.6723039,2.4028748,12.6588244,1,0,0,0,0,1,-0.659,-0.521,23,0,69.8906144
Belarus         ,81.55853,1994,225.132,9.009268,62.5776,0,0.2099,0,50.1920013,82.6,4272.954,4.401321,4.136407,5.416687,2.198254,3.9158557,31,31,5,8.3600607,14.670249,2.4161603,11.9072539,0,1,0,0,0,2,-0.659,-0.521,23,0,69.8906144
Belarus         ,81.18992,1995,186.0722,9.062266,62.21959,0,0.2099,0,50.1920013,82.6,4272.954,4.396791,4.13067,5.226135,2.204119,3.9158557,31,31,5,8.3600607,13.6562435,2.4290703,11.5190235,0,0,1,0,0,3,-0.659,-0.521,23,0,69.8906144
Belarus         ,80.92295,1996,220.7677,8.89534,61.95925,0,0.2099,0,50.1920013,82.6,4272.954,4.393497,4.126477,5.397111,2.185528,3.9158557,31,31,5,8.3600607,14.5644036,2.3882663,11.7955372,0,0,0,1,0,4,-0.659,-0.521,23,0,69.8906144
Belarus         ,80.80615,1997,252.1043,8.856183,61.84509,0,0.2099,0,50.1920013,82.6,4272.954,4.392053,4.124633,5.529843,2.181116,3.9158557,31,31,5,8.3600607,15.2895818,2.3786335,12.061229,0,0,0,0,1,5,-0.659,-0.521,23,0,69.8906144
Belize          ,73.8254929,1997,212.2966,3.896607,60.96363,0,0.474325,1,10.50579,51.6,4516.949,4.301704,4.110278,5.357984,1.360106,2.3519265,32,32,1,8.415592,14.3539963,0.9249442,7.2874262,0,0,0,0,1,5,0.554,1.231,24,0,70.8221895
Bolivia         ,68.99096,1993,135.1976,5.20391,51.45922,0,0.4062,1,597.7834,59.1,2660.176,4.233975,3.94079,4.906737,1.64941,6.3932285,33,33,5,7.8861476,12.038034,1.3602767,8.0932211,1,0,0,0,0,1,-0.223,0.391,25,0,62.1913234
Bolivia         ,69.42178,1994,143.2328,5.30612,51.92681,0,0.4062,1,597.7834,59.1,2660.176,4.240201,3.949835,4.964471,1.668861,6.3932285,33,33,5,7.8861476,12.3229862,1.3925485,8.285012,0,1,0,0,0,2,-0.223,0.391,25,0,62.1913234
Bolivia         ,69.85334,1995,138.7248,5.410531,52.39432,0,0.4062,1,597.7834,59.1,2660.176,4.246398,3.958798,4.932492,1.688347,6.3932285,33,33,5,7.8861476,12.1647387,1.4252578,8.3277581,0,0,1,0,0,3,-0.223,0.391,25,0,62.1913234
Bolivia         ,70.28569,1996,177.6482,5.499725,52.86177,0,0.4062,1,597.7834,59.1,2660.176,4.252568,3.96768,5.179805,1.704698,6.3932285,33,33,5,7.8861476,13.4151899,1.4529976,8.8300032,0,0,0,1,0,4,-0.223,0.391,25,0,62.1913234
Bolivia         ,70.71882,1997,154.2902,5.588867,53.32915,0,0.4062,1,597.7834,59.1,2660.176,4.258712,3.976483,5.038836,1.720777,6.3932285,33,33,5,7.8861476,12.6949341,1.4805367,8.6707131,0,0,0,0,1,5,-0.223,0.391,25,0,62.1913234
Brazil          ,68.22833,1993,408.6136,3.910882,58.3428,0,0.5727,1,1922.859,48.7,6565.337,4.22286,4.066336,6.01277,1.363763,7.5615684,34,34,5,8.7895591,18.0767015,0.9299248,8.1999933,1,0,0,0,0,1,-0.22,0.552,26,0,77.2563495
Brazil          ,68.42348,1994,395.7206,3.945105,58.56614,0,0.5727,1,1922.859,48.7,6565.337,4.225716,4.070157,5.980708,1.372476,7.5615684,34,34,5,8.7895591,17.8844341,0.9418452,8.2083782,0,1,0,0,0,2,-0.22,0.552,26,0,77.2563495
Brazil          ,68.6164,1995,444.9052,3.979631,58.7893,0,0.5727,1,1922.859,48.7,6565.337,4.228531,4.07396,6.097861,1.381189,7.5615684,34,34,5,8.7895591,18.5919544,0.9538415,8.4222985,0,0,1,0,0,3,-0.22,0.552,26,0,77.2563495
Brazil          ,68.8071,1996,431.9679,4.065426,59.01226,0,0.5727,1,1922.859,48.7,6565.337,4.231307,4.077745,6.068351,1.402519,7.5615684,34,34,5,8.7895591,18.4124419,0.9835298,8.5109776,0,0,0,1,0,4,-0.22,0.552,26,0,77.2563495
